|faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
501|DRU|POSTMORTALITY|10585002|Covenite Coterie – Epic Deed Stratagem|1.0|To the greatest Haemonculi, death is but an intriguing and temporary state to be experienced.|Either player’s turn|Any phase|Covenite Coterie|1114.0|"<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One <span class=""tooltip00526"" data-tooltip-content=""#tooltip_content00526"" data-tooltip-anchor=""#tooltip_content00526""><span class=""kwb"">HAEMONCULUS</span></span> model from your army that was just destroyed. You can use this Stratagem on that model even though it was just destroyed.<br><br><b>EFFECT:</b> Spend 1-3 <span class=""tooltip00369"" data-tooltip-content=""#tooltip_content00369""><span class=""tt kwbu"">Pain</span> <span class=""tt kwbu"">tokens</span></span>. At the end of the phase, set the destroyed model back up on the battlefield, as close as possible to where it was destroyed and not within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of any enemy units, with a number of wounds remaining equal to the number of Pain tokens you just spent.<br><br><b>RESTRICTIONS:</b> You cannot use this Stratagem if you have 0 Pain tokens, and you cannot target the same <span class=""kwb"">HAEMONCULUS</span> model with this Stratagem more than once per battle."|
502|DRU|ENFOLDING NIGHTMARE|10585007|Covenite Coterie – Strategic Ploy Stratagem|1.0|Even as the prey seek to drive the covenites back with hails of firepower, the horrors lurch closer.|Opponent’s turn|Shooting phase|Covenite Coterie|1114.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>, just after an enemy unit has shot.<br><br><b>TARGET:</b> One <span class=""tooltip00673"" data-tooltip-content=""#tooltip_content00673"" data-tooltip-anchor=""#tooltip_content00673""><span class=""kwb"">HAEMONCULUS</span> <span class=""kwb"">COVENS</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Roll one D6: your unit can be moved a number of inches up to the result, but it must end that move as close as possible to the closest enemy unit (excluding <a href=""/wh40k10ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a>). When doing so, those models can be moved within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of that enemy unit."|
503|DRU|DISTILLERS OF FEAR|10585005|Covenite Coterie – Strategic Ploy Stratagem|2.0|By arcane syringe and unholy invocation, the enemy's terror is syphoned out of their bodies, leaving them as little more than contorted husks.|Either player’s turn|Fight phase|Covenite Coterie|1114.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00673"" data-tooltip-content=""#tooltip_content00673"" data-tooltip-anchor=""#tooltip_content00673""><span class=""kwb"">HAEMONCULUS</span> <span class=""kwb"">COVENS</span></span> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack that targets an enemy unit that is <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shocked</a>, that attack has the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">[DEVASTATING WOUNDS]</a></span> ability."|
504|DRU|MAKING A POINT|10589006|Kabalite Cartel – Battle Tactic Stratagem|1.0|Whether seeking to impress a watching Archon, show up rivals or revel in their supremacy, these marksmen fire for spiteful effect.|Your turn|Shooting phase|Kabalite Cartel|1115.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <a class=""kwbOne"" href=""/wh40k10ed/factions/drukhari/Kabalite-Warriors""><span class=""kwb kwbo"">KABALITE</span> <span class=""kwb kwbo"">WARRIORS</span></a> or <a class=""kwbOne"" href=""/wh40k10ed/factions/drukhari/Hand-of-the-Archon""><span class=""kwb kwbo"">HAND</span> <span class=""kwb2 kwbo"">OF</span> <span class=""kwb2 kwbo"">THE</span> <span class=""kwb kwbo"">ARCHON</span></a> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, improve the Ballistic Skill and Armour Penetration characteristics of ranged weapons equipped by models in your unit by 1."|
505|DRU|TAKEN ALIVE|10589003|Kabalite Cartel – Battle Tactic Stratagem|1.0|Borne away screaming into the shadows, everyone knows these unfortunates face a dreadful fate.|Either player’s turn|Fight phase|Kabalite Cartel|1115.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00186"" data-tooltip-content=""#tooltip_content00186"" data-tooltip-anchor=""#tooltip_content00186""><span class=""kwb"">DRUKHARI</span></span> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>. If your Contract unit is destroyed as a result of those attacks, every unit in your opponent’s army must take a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shock test</a>. You cannot gain more than 3 <span class=""tooltip00369"" data-tooltip-content=""#tooltip_content00369""><span class=""tt kwbu"">Pain</span> <span class=""tt kwbu"">tokens</span></span> as a result of failed <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shock tests</a> caused by this Stratagem."|
506|DRU|TAILORED TOXINS|10589004|Kabalite Cartel – Epic Deed Stratagem|1.0|Specially prepared for their chosen prey, these malignant poisons are the anathema of their targets.|Either player’s turn|Shooting or Fight phase|Kabalite Cartel|1115.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00672"" data-tooltip-content=""#tooltip_content00672"" data-tooltip-anchor=""#tooltip_content00672""><span class=""kwb"">KABAL</span></span> or <span class=""tooltip00675"" data-tooltip-content=""#tooltip_content00675"" data-tooltip-anchor=""#tooltip_content00675""><span class=""kwb"">BLADES</span> <span class=""kwb2"">FOR</span> <span class=""kwb"">HIRE</span></span> unit from your army that has not been selected to shoot or fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack that targets your <span class=""tooltip00751"" data-tooltip-content=""#tooltip_content00751""><span class=""tt kwbu"">Contract</span> <span class=""tt kwbu"">unit</span></span>, an unmodified <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> of 5+ scores a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Critical Hit</a>."|
507|DRU|ENEMIES WITHOUT NUMBER|10589005|Kabalite Cartel – Epic Deed Stratagem|1.0|This Archon’s personal kill list of rivals, nemeses and victims is virtually never-ending.|Your turn|Command phase|Kabalite Cartel|1115.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>, just after you <span class=""tooltip00751"" data-tooltip-content=""#tooltip_content00751""><span class=""tt kwbu"">complete</span> <span class=""tt kwbu"">a</span> <span class=""tt kwbu"">Contract</span></span>.<br><br><b>TARGET:</b> One <span class=""tooltip00421"" data-tooltip-content=""#tooltip_content00421"" data-tooltip-anchor=""#tooltip_content00421""><span class=""kwb"">ARCHON</span></span> <span class=""kwb"">WARLORD</span> from your army.<br><br><b>EFFECT:</b> Select one <span class=""tooltip00751"" data-tooltip-content=""#tooltip_content00751""><span class=""tt kwbu"">new</span> <span class=""tt kwbu"">Contract</span></span> (this can be one you have already completed), then select one unit from your opponent’s army that is on the battlefield and matches the ‘Contract’ description in that Contract. Until that Contract is completed, that unit is your Contract unit and the <span class=""tooltip00751"" data-tooltip-content=""#tooltip_content00751""><span class=""tt kwbu"">Murderous</span> <span class=""tt kwbu"">Agenda</span></span> Detachment rule applies as normal."|
508|DRU|DEADLY DECEIVERS|10589007|Kabalite Cartel – Strategic Ploy Stratagem|1.0|A life lived amidst the shadowed spires of Commorragh teaches many ways to creep up on your enemies, unseen and unsuspected.|Opponent’s turn|Shooting phase|Kabalite Cartel|1115.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""tooltip00672"" data-tooltip-content=""#tooltip_content00672"" data-tooltip-anchor=""#tooltip_content00672""><span class=""kwb"">KABAL</span></span> or <span class=""tooltip00675"" data-tooltip-content=""#tooltip_content00675"" data-tooltip-anchor=""#tooltip_content00675""><span class=""kwb"">BLADES</span> <span class=""kwb2"">FOR</span> <span class=""kwb"">HIRE</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, your unit can only be selected as the target of a ranged attack if the attacking model is within 18""."|
509|DRU|DOUBLE-CROSS|10589002|Kabalite Cartel – Strategic Ploy Stratagem|1.0|What better way to eliminate rivals than tricking them into taking the blade meant for your ribs?|Either player’s turn|Fight phase|Kabalite Cartel|1115.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""tooltip00672"" data-tooltip-content=""#tooltip_content00672"" data-tooltip-anchor=""#tooltip_content00672""><span class=""kwb"">KABAL</span></span> or <span class=""tooltip00675"" data-tooltip-content=""#tooltip_content00675"" data-tooltip-anchor=""#tooltip_content00675""><span class=""kwb"">BLADES</span> <span class=""kwb2"">FOR</span> <span class=""kwb"">HIRE</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks, and one friendly <span class=""tooltip00186"" data-tooltip-content=""#tooltip_content00186"" data-tooltip-anchor=""#tooltip_content00186""><span class=""kwb"">DRUKHARI</span></span> unit (excluding <span class=""tooltip00752"" data-tooltip-content=""#tooltip_content00752"" data-tooltip-anchor=""#tooltip_content00752""><span class=""kwb"">VEHICLES</span></span>).<br><br><b>EFFECT:</b> Until the end of the phase, each time you would allocate an attack to a model in your <span class=""kwb"">KABAL</span> or <span class=""kwb"">BLADES</span> <span class=""kwb2"">FOR</span> <span class=""kwb"">HIRE</span> unit, if your <span class=""kwb"">DRUKHARI</span> unit is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of the attacking model, no <a href=""/wh40k10ed/the-rules/core-rules/#4.-Saving-Throw"">saving throw</a> is made for that attack; instead, your <span class=""kwb"">DRUKHARI</span> unit suffers a number of <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a> equal to the Damage characteristic of that attack."|
510|DRU|ELUSIVE DUELLISTS|9434002|Kabalite Corsairs – Battle Tactic Stratagem|1.0|These warriors delight in the close-quarters blade-duels of boarding actions, weaving around their enemies' blows and cutting them down in droves.|Either player’s turn|Fight phase|Kabalite Corsairs|935.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""kwb"">DRUKHARI</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time an attack targets your unit, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> and, if your unit has the <a class=""kwbOne"" href=""/wh40k10ed/factions/drukhari/Incubi""><span class=""kwb kwbo"">INCUBI</span></a> keyword, models in your unit have a 4+ <a href=""/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves"">invulnerable save</a>."|
511|DRU|DECKPLATE SWEEPERS|9434003|Kabalite Corsairs – Battle Tactic Stratagem|1.0|Indiscriminate hails of splinter fire fill chambers and corridors, leaving nowhere to hide in the enclosed space.|Your turn|Shooting phase|Kabalite Corsairs|935.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00672"" data-tooltip-content=""#tooltip_content00672"" data-tooltip-anchor=""#tooltip_content00672""><span class=""kwb"">KABAL</span></span> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, improve the Armour Penetration characteristic of splinter cannons, splinter rifles and splinter pistols equipped by models in your unit by 1."|
512|DRU|TAKE THEM ALIVE|9434004|Kabalite Corsairs – Strategic Ploy Stratagem|1.0|Aiming to maim rather than slag, and employing psychotropic or paralysing venoms, the Kabalites seek to incapacitate their victims so that they too may be taken as plunder.|Your turn|Shooting phase|Kabalite Corsairs|935.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase"">Shooting phase</a>, just after a <span class=""tooltip00672"" data-tooltip-content=""#tooltip_content00672"" data-tooltip-anchor=""#tooltip_content00672""><span class=""kwb"">KABAL</span></span> unit from your army has shot.<br><br><b>TARGET:</b> That <span class=""kwb"">KABAL</span> unit.<br><br><b>EFFECT:</b> Select one enemy unit hit by one or more of your unit’s attacks this phase (excluding those made with <a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">Pistols</a>). That enemy unit must take a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shock test</a>, subtracting 1 from the result if your unit is within 6” of it."|
513|DRU|OPPORTUNISTIC THIEVES|9434005|Kabalite Corsairs – Strategic Ploy Stratagem|1.0|Any undefended source of riches or power is fair game to these fast-moving raiders.|Your turn|Fight phase|Kabalite Corsairs|935.0|"<b>WHEN:</b> End of your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00672"" data-tooltip-content=""#tooltip_content00672"" data-tooltip-anchor=""#tooltip_content00672""><span class=""kwb"">KABAL</span></span> unit from your army that is not within <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units.<br><br><b>EFFECT:</b> Select one <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Objective-Markers"">objective marker</a> you do not control that is <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Visibility"">visible</a> to your unit. Your unit can make a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal move</a> of up to D6"", but if it does, every model in that unit must end that move <a href=""/wh40k10ed/the-rules/rules-commentary/#_intro2"">as close as possible</a> to that objective marker."|
514|DRU|UNFEELING ABOMINATIONS|9451003|Painbringers – Battle Tactic Stratagem|1.0|The creations of the Haemonculi are capable of enduring terrible wounds and continuing to fight.|Either player’s turn|Fight phase|Painbringers|937.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""tooltip00673"" data-tooltip-content=""#tooltip_content00673"" data-tooltip-anchor=""#tooltip_content00673""><span class=""kwb"">HAEMONCULUS</span> <span class=""kwb"">COVENS</span></span> unit from your army that was selected as the target of one or more of the attacking unit's attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit is <a href=""/wh40k10ed/the-rules/core-rules/#Destroyed"">destroyed</a>, if that model has not fought this phase, roll one D6, adding 1 if your unit has the <a class=""kwbOne"" href=""/wh40k10ed/factions/drukhari/Grotesques""><span class=""kwb kwbo"">GROTESQUES</span></a> keyword: on a 4+, do not remove the destroyed model from play; it can fight after the attacking unit has finished making its attacks, and is then removed from play.<br><br><b>RESTRICTIONS:</b> If your unit has the <span class=""kwb"">GROTESQUES</span> keyword, until the end of the phase, it loses the Mindless Killing Machines ability."|
